batch,model,dataset,coverage,set_size,accuracy,time_seconds,timestamp
Baseline,densenet121,MURA,0.5333333333333333,1.0,0.5333333333333333,12.256734848022461,2026-02-21T00:17:14.027365
Physics_Only,densenet121,MURA,0.5333333333333333,1.0,0.5333333333333333,8.439074516296387,2026-02-21T00:17:22.594066
Conformal,densenet121,MURA,1.0,1.9666666666666666,0.5333333333333333,13.92745327949524,2026-02-21T00:17:36.674645
Conformal_Physics,densenet121,MURA,0.8,1.5666666666666667,0.5333333333333333,14.531340599060059,2026-02-21T00:17:51.355119
Baseline,densenet121,LERA,0.4,1.0,0.4,10.442185878753662,2026-02-21T00:18:02.358642
Physics_Only,densenet121,LERA,0.4,1.0,0.4,9.29114294052124,2026-02-21T00:18:11.780086
Conformal,densenet121,LERA,1.0,4.0,0.4,16.05985116958618,2026-02-21T00:18:27.989750
Conformal_Physics,densenet121,LERA,0.5666666666666667,1.8,0.4,15.571433067321777,2026-02-21T00:18:43.718850
Baseline,densenet121,Montgomery,0.4666666666666667,1.0,0.4666666666666667,14.174633741378784,2026-02-21T00:18:58.515899
Physics_Only,densenet121,Montgomery,0.4666666666666667,1.0,0.4666666666666667,13.768046617507935,2026-02-21T00:19:12.405375
Conformal,densenet121,Montgomery,0.9333333333333333,1.9,0.4666666666666667,27.830704927444458,2026-02-21T00:19:40.387618
Conformal_Physics,densenet121,Montgomery,0.6666666666666666,1.2666666666666666,0.4666666666666667,28.47673773765564,2026-02-21T00:20:08.990372
